,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
39,Ho Hey,0.682,0.471,0,-9.182,1,0.0301,0.765,0.0,0.0908,0.421,79.907,audio_features,1K3LRUEcUz5FMtPYyg0F45,spotify:track:1K3LRUEcUz5FMtPYyg0F45,https://api.spotify.com/v1/tracks/1K3LRUEcUz5FMtPYyg0F45,https://api.spotify.com/v1/audio-analysis/1K3LRUEcUz5FMtPYyg0F45,163133,4
40,Naalo Chilipi Kala (Theme Song),0.805,0.501,6,-5.243,0,0.0514,0.589,2.86e-05,0.429,0.707,84.999,audio_features,79l2r6sNwz2p2kCjK5eB8y,spotify:track:79l2r6sNwz2p2kCjK5eB8y,https://api.spotify.com/v1/tracks/79l2r6sNwz2p2kCjK5eB8y,https://api.spotify.com/v1/audio-analysis/79l2r6sNwz2p2kCjK5eB8y,218630,4
41,"Sweet Dreams, TN",0.282,0.566,11,-6.924,0,0.0291,0.000878,0.0,0.38,0.477,112.362,audio_features,1W0OCrMsRP1SLTEdw3JwEz,spotify:track:1W0OCrMsRP1SLTEdw3JwEz,https://api.spotify.com/v1/tracks/1W0OCrMsRP1SLTEdw3JwEz,https://api.spotify.com/v1/audio-analysis/1W0OCrMsRP1SLTEdw3JwEz,236253,3
42,Dilnawaz,0.496,0.568,4,-7.968,0,0.0333,0.217,1.69e-05,0.094,0.236,88.918,audio_features,3YFGRIWnlFmWUJvXdJZIVS,spotify:track:3YFGRIWnlFmWUJvXdJZIVS,https://api.spotify.com/v1/tracks/3YFGRIWnlFmWUJvXdJZIVS,https://api.spotify.com/v1/audio-analysis/3YFGRIWnlFmWUJvXdJZIVS,207531,4
43,Obsessed,0.798,0.74,5,-4.099,0,0.0861,0.616,0.0,0.084,0.851,134.932,audio_features,6Z4rRhYZVQsYKmrxD40tru,spotify:track:6Z4rRhYZVQsYKmrxD40tru,https://api.spotify.com/v1/tracks/6Z4rRhYZVQsYKmrxD40tru,https://api.spotify.com/v1/audio-analysis/6Z4rRhYZVQsYKmrxD40tru,190444,4
44,Jeena Jeena,0.682,0.344,5,-8.567,1,0.0281,0.789,0.0,0.121,0.548,104.984,audio_features,2GXXZFUxYg2LvG8SR0byOE,spotify:track:2GXXZFUxYg2LvG8SR0byOE,https://api.spotify.com/v1/tracks/2GXXZFUxYg2LvG8SR0byOE,https://api.spotify.com/v1/audio-analysis/2GXXZFUxYg2LvG8SR0byOE,228969,4
45,If You’re Too Shy (Let Me Know),0.64,0.628,2,-6.091,1,0.0324,0.0157,0.0382,0.0916,0.235,125.648,audio_features,1C5utO1I8FoSIn6g1R5DAZ,spotify:track:1C5utO1I8FoSIn6g1R5DAZ,https://api.spotify.com/v1/tracks/1C5utO1I8FoSIn6g1R5DAZ,https://api.spotify.com/v1/audio-analysis/1C5utO1I8FoSIn6g1R5DAZ,319371,4
46,Ayee,0.869,0.521,11,-9.376,0,0.162,0.567,0.0,0.101,0.485,94.981,audio_features,3s6bB02odIXvM3OpnqgzNN,spotify:track:3s6bB02odIXvM3OpnqgzNN,https://api.spotify.com/v1/tracks/3s6bB02odIXvM3OpnqgzNN,https://api.spotify.com/v1/audio-analysis/3s6bB02odIXvM3OpnqgzNN,146526,4
47,Sicko Mode - Piano Acoustic,0.692,0.438,6,-6.685,0,0.057,0.716,0.0,0.104,0.356,75.01,audio_features,73tO9WEOtdowkuGgFlpAPH,spotify:track:73tO9WEOtdowkuGgFlpAPH,https://api.spotify.com/v1/tracks/73tO9WEOtdowkuGgFlpAPH,https://api.spotify.com/v1/audio-analysis/73tO9WEOtdowkuGgFlpAPH,179900,4
48,Scar Tissue,0.437,0.717,0,-4.803,1,0.039,0.0779,0.00274,0.108,0.547,178.085,audio_features,2QOMGq8wVTZbLmh7McrvgF,spotify:track:2QOMGq8wVTZbLmh7McrvgF,https://api.spotify.com/v1/tracks/2QOMGq8wVTZbLmh7McrvgF,https://api.spotify.com/v1/audio-analysis/2QOMGq8wVTZbLmh7McrvgF,215907,4
